qacc	Freq	Species
ASV1	226	Acetobacter_pasteurianus
ASV2	680	Bacillus_licheniformis
ASV3	908	Lactobacillus_plantarum
ASV4	222	Acetobacter_pasteurianus
ASV5	650	Salmonella_enterica
ASV6	507	Lactobacillus_brevis
ASV7	265	Weissella_cibaria
ASV8	172	Lactobacillus_rhamnosus
ASV9	574	Klebsiella_pneumoniae
ASV10	380	Salmonella_enterica
ASV11	225	Acetobacter_pasteurianus
ASV12	173	Acetobacter_pasteurianus
ASV13	247	Salmonella_enterica
ASV14	260	Bacillus_megaterium
ASV15	205	Acetobacter_pasteurianus
ASV16	400	Lactobacillus_casei
ASV17	130	Corynebacterium_pseudotuberculosis
ASV18	173	Lactobacillus_rhamnosus
ASV19	812	Leuconostoc_mesenteroides
ASV20	205	Acetobacter_pasteurianus
ASV21	192	Salmonella_enterica
ASV22	279	Lactobacillus_plantarum
ASV23	364	Salmonella_enterica
ASV24	206	Acetobacter_pasteurianus
ASV25	812	Leuconostoc_mesenteroides
ASV26	583	Lactobacillus_plantarum
ASV27	114	Corynebacterium_pseudotuberculosis
ASV28	296	Brucella_melitensis
ASV29	334	Lysinibacillus_sphaericus
ASV30	900	Lactobacillus_plantarum
ASV31	205	Acetobacter_pasteurianus
ASV32	370	Lysinibacillus_sphaericus
ASV33	211	Acetobacter_pasteurianus
ASV34	207	Acetobacter_pasteurianus
ASV35	417	Lactobacillus_plantarum
ASV36	259	Enterobacter_cloacae
ASV37	878	Lactobacillus_plantarum
ASV38	787	Salmonella_enterica
ASV39	428	Lactobacillus_casei
ASV40	488	Klebsiella_pneumoniae
ASV41	364	Enterococcus_faecium
ASV42	363	Klebsiella_pneumoniae
ASV43	348	Lactobacillus_plantarum
ASV44	222	Acetobacter_pasteurianus
ASV45	141	Flavobacterium_columnare
ASV46	269	Klebsiella_pneumoniae
ASV47	345	Lactobacillus_plantarum
ASV48	679	Bacillus_licheniformis
ASV49	833	Bacillus_subtilis
ASV50	500	Bacillus_cereus
ASV51	222	Acetobacter_pasteurianus
ASV52	582	Lactobacillus_casei
ASV53	427	Lactobacillus_plantarum
