Entry	Length
Q4WSF6	366
C8VT14	1313
Q5AVI3	838
Q5BBS5	172
Q9P4U6	1065
Q9P896	682
C8V8F5	1297
C8V7M0	558
Q8J0Q4	507
A0A364M5V9	608
Q5AW17	577
Q8J218	886
A0A364MAR9	485
Q5BBL3	848
Q9UR50	192
A0A1U8QQ12	428
Q5BEU9	651
Q5AS94	825
Q5AXF0	616
Q5AVI2	287
A0A2T3ZPV2	671
A0A2T3Z4F9	715
A0A2T3ZK01	218
A0A2T3Z778	340
A0A2T3ZGR0	338
A0A2T3ZCQ1	275
A0A2T3Z765	1339
A0A2T3YZE9	628
A0A2T3Z5U5	343
A0A2T3ZFT6	821
A0A2T3ZB84	627
A0A2T3Z4J9	1126
A0A2T3YZ29	1377
A0A2T3Z567	740
A0A2T3ZQP7	1942
A0A2T3Z8Y6	148
A0A2T3ZIN6	584
A0A2T3ZLB3	469
A0A2T3ZEI8	1174
A0A2T3ZCC2	618
A0A2T3ZN91	861
A0A2T3YUR3	372
A0A2T3Z7X0	1158
A0A2T3ZF83	268
A0A2T3ZK40	204
A0A2T3ZPK3	824
A0A2T3Z8G3	1421
A0A2T3YV90	890
A0A2T3YR98	1009
A0A2T3ZE76	355
A0A2T3YS35	799
A0A2T3Z6G6	354
A0A2T3YW86	187
A0A2T3ZJE2	500
A0A2T3Z990	610
A0A2T3ZP48	672
A0A2T3ZQY3	340
A0A2T3ZNJ2	503
A0A2T3ZHY4	418
A0A2T3ZKE9	327
A0A2T3YVI4	1037
A0A2T3ZAF1	379
A0A2T3YVW9	428
A0A2T3ZLL6	357
A0A2T3YRG8	270
A0A2T3ZB77	479
A0A2T3ZHH7	334
A0A2T3Z4D2	216
A0A2T3Z1D9	765
A0A2T3YSH7	419
A0A2T3ZE66	899
A0A2T3Z2Z2	585
A0A2T3YX22	300
A0A2T3Z8V5	212
A0A2T3YWL2	627
A0A2T3Z3C9	292
A0A2T3ZE62	515
A0A2T3ZEA6	494
A0A2T3ZPI8	352
A0A2T3Z5I2	329
A0A2T3YUM6	120
A0A2T3YRU0	252
A0A2T3ZN18	708
A0A2T3ZQ91	2550
A0A2T3YUQ6	378
A0A2T3YZW7	1167
A0A2T3ZJ00	355
A0A2T3Z1P8	734
A0A2T3ZB92	394
A0A2T3ZBC2	1070
A0A2T3Z0Z2	575
A0A2T3ZLH6	1051
A0A2T3ZJF0	1287
A0A2T3Z7Q5	427
A0A2T3YVF3	194
A0A2T3YT28	210
A0A2T3ZBU3	1608
A0A2T3YUK6	1008
A0A2T3YQG2	257
A0A2T3ZGV9	520
